model,language,rouge1,rouge2,rougeL,bertscore_f1,n_examples
zero_shot_mt5_small,english,0.09361908295611165,0.01819531149141369,0.0868951274011501,0.586739823102951,500
zero_shot_mt5_small,hindi,0.08558869427417738,0.025964366436191034,0.08035760349861815,0.5951864387989044,500
zero_shot_mt5_small,telugu,0.05909073616422262,0.007023100331708298,0.05830617988417707,0.5409806036353111,500
zero_shot_mt5_small,overall,0.07943283779817055,0.017060926086437674,0.07518630359464844,0.5743022885123888,1500
